FID,the_geom,District,ID_Muni,Municipali,Longitude,Latitude,Population,Urb_ou_Rur,Pop_total,Services__,Densite_Po,Urb_Rur
population_mada.1,POINT (47.5 -18.900000000000002),ANTANANARIVO RENIVOHITRA,101001,1ER ARRONDISSEMENT,47.5,-18.9,270141,,167487,35.7,29973.64,Urban
population_mada.2,POINT (47.53333333333333 -18.916666666666668),ANTANANARIVO RENIVOHITRA,101002,2E ARRONDISSEMENT,47.533333,-18.916667,174572,,108235,35.7,12292.77,Urban
population_mada.3,POINT (47.516666666666666 -18.883333333333336),ANTANANARIVO RENIVOHITRA,101003,3E ARRONDISSEMENT,47.516667,-18.883333,139767,,86655,35.7,20217.02,Urban
population_mada.4,POINT (47.5 -18.933333333333334),ANTANANARIVO RENIVOHITRA,101004,4E ARRONDISSEMENT,47.5,-18.933333,236343,,146533,35.7,18593.46,Urban
population_mada.5,POINT (47.53333333333333 -18.866666666666667),ANTANANARIVO RENIVOHITRA,101005,5E ARRONDISSEMENT,47.533333,-18.866667,358834,,222477,35.7,15927.44,Urban
population_mada.6,POINT (47.483333333333334 -18.85),ANTANANARIVO RENIVOHITRA,101006,6E ARRONDISSEMENT,47.483333,-18.85,135619,,84084,35.7,8133.04,Urban
population_mada.7,POINT (47.56666666666667 -18.950000000000003),ANTANANARIVO AVARADRANO,102010,ALASORA,47.566667,-18.95,35105,,24082,10.2,1640.94,Rural
population_mada.8,POINT (47.550000000000004 -18.833333333333336),ANTANANARIVO AVARADRANO,102039,ANKADIKELY ILAFY,47.55,-18.833333,88821,,60931,10.2,2478.28,Rural
population_mada.9,POINT (47.6 -18.933333333333334),ANTANANARIVO AVARADRANO,102050,AMBOHIMANAMBOLA,47.6,-18.933333,14499,,9946,10.2,749.17,Rural
population_mada.10,POINT (47.550000000000004 -18.81666666666667),ANTANANARIVO AVARADRANO,102079,SABOTSY NAMEHANA,47.55,-18.816667,66050,,45311,10.2,2867.78,Rural
population_mada.11,POINT (47.583333333333336 -18.883333333333336),ANTANANARIVO AVARADRANO,102099,AMBOHIMANGAKELY,47.583333,-18.883333,68317,,46865,10.2,1973.93,Rural
population_mada.12,POINT (47.6 -18.8),ANTANANARIVO AVARADRANO,102210,MANANDRIANA,47.6,-18.8,5368,,3682,10.2,248.56,Rural
population_mada.13,POINT (47.63333333333333 -18.883333333333336),ANTANANARIVO AVARADRANO,102230,AMBOHIMALAZA MIRAY,47.633333,-18.883333,12503,,8577,10.2,374.39,Rural
population_mada.14,POINT (47.63333333333333 -18.833333333333336),ANTANANARIVO AVARADRANO,102279,FIAFERANA,47.633333,-18.833333,6623,,4543,10.2,238.92,Rural
population_mada.15,POINT (47.550000000000004 -18.76666666666667),ANTANANARIVO AVARADRANO,102319,AMBOHIMANGA ROVA,47.55,-18.766667,18280,,12540,10.2,440.12,Rural
population_mada.16,POINT (47.66666666666667 -18.8),ANTANANARIVO AVARADRANO,102350,VILIAHAZO,47.666667,-18.8,3462,,2375,10.2,149.44,Rural
population_mada.17,POINT (47.61666666666667 -18.75),ANTANANARIVO AVARADRANO,102379,TALATA VOLONONDRY,47.616667,-18.75,23053,,15815,10.2,236.67,Rural
population_mada.18,POINT (47.65 -18.933333333333334),ANTANANARIVO AVARADRANO,102390,ANJEVA GARA,47.65,-18.933333,8820,,6051,10.2,287.9,Rural
population_mada.19,POINT (47.61666666666667 -18.983333333333334),ANTANANARIVO AVARADRANO,102410,MASINDRAY,47.616667,-18.983333,11544,,7919,10.2,236.31,Rural
population_mada.20,POINT (47.66666666666667 -19.05),ANTANANARIVO AVARADRANO,102430,ANKADINANDRIANA,47.666667,-19.05,18694,,12824,10.2,137.49,Rural
population_mada.21,POINT (47.43333333333334 -18.81666666666667),AMBOHIDRATRIMO,103010,AMBOHIDRATRIMO,47.433333,-18.816667,17920,,12293,10.2,6344.1,Rural
population_mada.22,POINT (47.4 -18.783333333333335),AMBOHIDRATRIMO,103030,ANOSIALA,47.4,-18.783333,29317,,20111,10.2,584.14,Rural
population_mada.23,POINT (47.45 -18.81666666666667),AMBOHIDRATRIMO,103050,TALATAMATY,47.45,-18.816667,50668,,34758,10.2,32357.21,Rural
population_mada.24,POINT (47.483333333333334 -18.833333333333336),AMBOHIDRATRIMO,103070,ANTEHIROKA,47.483333,-18.833333,62741,,43040,10.2,4037.16,Rural
population_mada.25,POINT (47.4 -18.81666666666667),AMBOHIDRATRIMO,103090,IARINARIVO,47.4,-18.816667,8967,,6151,10.2,495.25,Rural
population_mada.26,POINT (47.46666666666667 -18.81666666666667),AMBOHIDRATRIMO,103111,IVATO FIRAISANA,47.466667,-18.816667,28144,,19307,10.2,6164.75,Rural
population_mada.27,POINT (47.46666666666667 -18.8),AMBOHIDRATRIMO,103112,IVATO AEROPORT,47.466667,-18.8,23879,,16381,10.2,2435.34,Rural
population_mada.28,POINT (47.43333333333334 -18.866666666666667),AMBOHIDRATRIMO,103130,AMBOHITRIMANJAKA,47.433333,-18.866667,34742,,23833,10.2,1661.05,Rural
population_mada.29,POINT (47.36666666666667 -18.75),AMBOHIDRATRIMO,103150,MAHITSY,47.366667,-18.75,42299,,29017,10.2,450.23,Rural
population_mada.30,POINT (47.5 -18.733333333333334),AMBOHIDRATRIMO,103171,MERIMANDROSO,47.5,-18.733333,13542,,9290,10.2,263.93,Rural
population_mada.31,POINT (47.483333333333334 -18.783333333333335),AMBOHIDRATRIMO,103172,AMBATOLAMPY,47.483333,-18.783333,14108,,9678,10.2,786.11,Rural
population_mada.32,POINT (47.36666666666667 -18.85),AMBOHIDRATRIMO,103190,AMPANGABE,47.366667,-18.85,11776,,8079,10.2,271.86,Rural
population_mada.33,POINT (47.266666666666666 -18.71666666666667),AMBOHIDRATRIMO,103210,AMPANOTOKANA,47.266667,-18.716667,20425,,14012,10.2,174.39,Rural
population_mada.34,POINT (47.3 -18.75),AMBOHIDRATRIMO,103230,MANANJARA,47.3,-18.75,3534,,2424,10.2,110.19,Rural
population_mada.35,POINT (47.483333333333334 -18.683333333333334),AMBOHIDRATRIMO,103251,MANJAKAVARADRANO,47.483333,-18.683333,2757,,1891,10.2,62.26,Rural
population_mada.36,POINT (47.53333333333333 -18.650000000000002),AMBOHIDRATRIMO,103252,ANTSAHAFILO,47.533333,-18.65,2420,,1660,10.2,54.11,Rural
population_mada.37,POINT (47.43333333333334 -18.700000000000003),AMBOHIDRATRIMO,103270,AMBOHIMANJAKA,47.433333,-18.7,7823,,5367,10.2,241.17,Rural
population_mada.38,POINT (47.4 -18.883333333333336),AMBOHIDRATRIMO,103290,FIADANANA,47.4,-18.883333,6746,,4628,10.2,413.63,Rural
population_mada.39,POINT (47.31666666666667 -18.616666666666667),AMBOHIDRATRIMO,103310,MAHABO,47.316667,-18.616667,7357,,5047,10.2,86.69,Rural
population_mada.40,POINT (47.35 -18.883333333333336),AMBOHIDRATRIMO,103330,MAHEREZA,47.35,-18.883333,3910,,2682,10.2,295.94,Rural
population_mada.41,POINT (47.38333333333333 -18.666666666666668),AMBOHIDRATRIMO,103350,ANTANETIBE,47.383333,-18.666667,9486,,6507,10.2,176.11,Rural
population_mada.42,POINT (47.56666666666667 -18.683333333333334),AMBOHIDRATRIMO,103370,AMBOHIPIHAONANA,47.566667,-18.683333,4608,,3161,10.2,175.03,Rural
population_mada.43,POINT (47.5 -18.533333333333335),AMBOHIDRATRIMO,103390,AMBATO,47.5,-18.533333,9618,,6598,10.2,28.79,Rural
population_mada.44,POINT (47.38333333333333 -18.55),AMBOHIDRATRIMO,103410,ANJANADORIA,47.383333,-18.55,6438,,4416,10.2,37.14,Rural
population_mada.45,POINT (47.6 -18.6),AMBOHIDRATRIMO,103430,AVARATSENA,47.6,-18.6,5691,,3904,10.2,33.53,Rural
population_mada.46,POINT (47.11666666666667 -18.266666666666666),ANKAZOBE,104010,ANKAZOBE,47.116667,-18.266667,20712,,14209,10.2,49.59,Rural
population_mada.47,POINT (47.06666666666667 -18.15),ANKAZOBE,104030,TALATA ANGAVO,47.066667,-18.15,14931,,10243,10.2,26.74,Rural
